Date,"SPY"
2018-11-20,46
2018-11-21,23
2018-11-22,16
2018-11-23,18
2018-11-24,23
2018-11-25,10
2018-11-26,22
2018-11-27,22
2018-11-28,23
2018-11-29,22
2018-11-30,18
2018-12-01,23
2018-12-02,16
2018-12-03,35
2018-12-04,28
2018-12-05,24
2018-12-06,36
2018-12-07,37
2018-12-08,9
2018-12-09,22
2018-12-10,35
2018-12-11,32
2018-12-12,19
2018-12-13,41
2018-12-14,21
2018-12-15,14
2018-12-16,17
2018-12-17,19
2018-12-18,43
2018-12-19,25
2018-12-20,51
2018-12-21,33
2018-12-22,34
2018-12-23,31
2018-12-24,27
2018-12-25,36
2018-12-26,45
2018-12-27,59
2018-12-28,32
2018-12-29,19
2018-12-30,21
2018-12-31,11
2019-01-01,19
2019-01-02,35
2019-01-03,28
2019-01-04,18
2019-01-05,20
2019-01-06,21
2019-01-07,32
2019-01-08,25
2019-01-09,28
2019-01-10,33
2019-01-11,21
2019-01-12,21
2019-01-13,14
2019-01-14,18
2019-01-15,23
2019-01-16,21
2019-01-17,21
2019-01-18,19
2019-01-19,9
2019-01-20,9
2019-01-21,15
2019-01-22,18
2019-01-23,22
2019-01-24,18
2019-01-25,12
2019-01-26,16
2019-01-27,10
2019-01-28,32
2019-01-29,19
2019-01-30,23
2019-01-31,16
2019-02-01,17
2019-02-02,17
2019-02-03,9
2019-02-04,17
2019-02-05,21
2019-02-06,19
2019-02-07,22
2019-02-08,15
2019-02-09,35
2019-02-10,24
2019-02-11,20
2019-02-12,23
2019-02-13,19
2019-02-14,16
2019-02-15,18
2019-02-16,30
2019-02-17,34
2019-02-18,34
2019-02-19,29
2019-02-20,34
2019-02-21,24
2019-02-22,27
2019-02-23,21
2019-02-24,14
2019-02-25,29
2019-02-26,25
2019-02-27,21
2019-02-28,13
2019-03-01,16
2019-03-02,14
2019-03-03,10
2019-03-04,26
2019-03-05,22
2019-03-06,17
2019-03-07,25
2019-03-08,30
2019-03-09,22
2019-03-10,13
2019-03-11,20
2019-03-12,23
2019-03-13,23
2019-03-14,25
2019-03-15,13
2019-03-16,19
2019-03-17,21
2019-03-18,26
2019-03-19,26
2019-03-20,22
2019-03-21,12
2019-03-22,32
2019-03-23,32
2019-03-24,21
2019-03-25,22
2019-03-26,24
2019-03-27,16
2019-03-28,18
2019-03-29,16
2019-03-30,15
2019-03-31,17
2019-04-01,23
2019-04-02,27
2019-04-03,23
2019-04-04,19
2019-04-05,25
2019-04-06,16
2019-04-07,17
2019-04-08,14
2019-04-09,18
2019-04-10,19
2019-04-11,26
2019-04-12,27
2019-04-13,15
2019-04-14,25
2019-04-15,25
2019-04-16,23
2019-04-17,27
2019-04-18,36
2019-04-19,16
2019-04-20,15
2019-04-21,20
2019-04-22,16
2019-04-23,16
2019-04-24,22
2019-04-25,21
2019-04-26,13
2019-04-27,11
2019-04-28,13
2019-04-29,27
2019-04-30,14
2019-05-01,27
2019-05-02,28
2019-05-03,21
2019-05-04,15
2019-05-05,14
2019-05-06,40
2019-05-07,33
2019-05-08,35
2019-05-09,21
2019-05-10,31
2019-05-11,20
2019-05-12,12
2019-05-13,28
2019-05-14,41
2019-05-15,37
2019-05-16,16
2019-05-17,21
2019-05-18,30
2019-05-19,16
2019-05-20,13
2019-05-21,17
2019-05-22,12
2019-05-23,21
2019-05-24,19
2019-05-25,16
2019-05-26,13
2019-05-27,24
2019-05-28,22
2019-05-29,24
2019-05-30,23
2019-05-31,22
2019-06-01,12
2019-06-02,20
2019-06-03,31
2019-06-04,20
2019-06-05,24
2019-06-06,17
2019-06-07,24
2019-06-08,22
2019-06-09,20
2019-06-10,18
2019-06-11,25
2019-06-12,20
2019-06-13,12
2019-06-14,12
2019-06-15,15
2019-06-16,7
2019-06-17,11
2019-06-18,34
2019-06-19,21
2019-06-20,34
2019-06-21,26
2019-06-22,17
2019-06-23,18
2019-06-24,13
2019-06-25,22
2019-06-26,17
2019-06-27,21
2019-06-28,14
2019-06-29,24
2019-06-30,22
2019-07-01,15
2019-07-02,28
2019-07-03,26
2019-07-04,19
2019-07-05,14
2019-07-06,10
2019-07-07,19
2019-07-08,20
2019-07-09,20
2019-07-10,32
2019-07-11,15
2019-07-12,19
2019-07-13,17
2019-07-14,13
2019-07-15,18
2019-07-16,18
2019-07-17,19
2019-07-18,19
2019-07-19,20
2019-07-20,13
2019-07-21,7
2019-07-22,6
2019-07-23,11
2019-07-24,20
2019-07-25,18
2019-07-26,19
2019-07-27,18
2019-07-28,19
2019-07-29,21
2019-07-30,26
2019-07-31,12
2019-08-01,16
2019-08-02,58
2019-08-03,21
2019-08-04,15
2019-08-05,51
2019-08-06,43
2019-08-07,41
2019-08-08,30
2019-08-09,81
2019-08-10,40
2019-08-11,28
2019-08-12,41
2019-08-13,30
2019-08-14,43
2019-08-15,39
2019-08-16,38
2019-08-17,27
2019-08-18,48
2019-08-19,220
2019-08-20,87
2019-08-21,31
2019-08-22,34
2019-08-23,40
2019-08-24,54
2019-08-25,28
2019-08-26,39
2019-08-27,25
2019-08-28,28
2019-08-29,30
2019-08-30,32
2019-08-31,28
2019-09-01,23
2019-09-02,20
2019-09-03,26
2019-09-04,39
2019-09-05,32
2019-09-06,25
2019-09-07,22
2019-09-08,22
2019-09-09,37
2019-09-10,25
2019-09-11,29
2019-09-12,42
2019-09-13,21
2019-09-14,17
2019-09-15,21
2019-09-16,28
2019-09-17,36
2019-09-18,34
2019-09-19,27
2019-09-20,37
2019-09-21,20
2019-09-22,24
2019-09-23,29
2019-09-24,34
2019-09-25,38
2019-09-26,32
2019-09-27,25
2019-09-28,24
2019-09-29,10
2019-09-30,14
2019-10-01,20
2019-10-02,25
2019-10-03,26
2019-10-04,30
2019-10-05,25
2019-10-06,14
2019-10-07,24
2019-10-08,39
2019-10-09,32
2019-10-10,33
2019-10-11,42
2019-10-12,45
2019-10-13,21
2019-10-14,40
2019-10-15,52
2019-10-16,49
2019-10-17,57
2019-10-18,36
2019-10-19,37
2019-10-20,25
2019-10-21,28
2019-10-22,23
2019-10-23,34
2019-10-24,30
2019-10-25,36
2019-10-26,13
2019-10-27,14
2019-10-28,12
2019-10-29,22
2019-10-30,15
2019-10-31,16
2019-11-01,25
2019-11-02,14
2019-11-03,19
2019-11-04,31
2019-11-05,35
2019-11-06,24
2019-11-07,21
2019-11-08,22
2019-11-09,25
2019-11-10,20
2019-11-11,383
2019-11-12,179
2019-11-13,41
2019-11-14,29
2019-11-15,46
2019-11-16,23
2019-11-17,23
2019-11-18,26
2019-11-19,25
2019-11-20,13
2019-11-21,18
2019-11-22,37
2019-11-23,24
2019-11-24,26
2019-11-25,33
2019-11-26,38
2019-11-27,29
2019-11-28,34
2019-11-29,47
2019-11-30,29
2019-12-01,26
2019-12-02,31
2019-12-03,43
2019-12-04,48
2019-12-05,116
2019-12-06,42
2019-12-07,23
2019-12-08,25
2019-12-09,22
2019-12-10,30
2019-12-11,24
2019-12-12,27
2019-12-13,42
2019-12-14,30
2019-12-15,33
2019-12-16,39
2019-12-17,23
2019-12-18,28
2019-12-19,17
2019-12-20,19
2019-12-21,16
2019-12-22,16
2019-12-23,19
2019-12-24,22
2019-12-25,10
2019-12-26,30
2019-12-27,28
2019-12-28,14
2019-12-29,29
2019-12-30,21
2019-12-31,18
2020-01-01,17
2020-01-02,31
2020-01-03,36
2020-01-04,26
2020-01-05,29
2020-01-06,24
2020-01-07,40
2020-01-08,45
2020-01-09,20
2020-01-10,27
2020-01-11,24
2020-01-12,30
2020-01-13,38
2020-01-14,53
2020-01-15,40
2020-01-16,40
2020-01-17,43
2020-01-18,34
2020-01-19,13
2020-01-20,46
2020-01-21,42
2020-01-22,22
2020-01-23,35
2020-01-24,48
2020-01-25,38
2020-01-26,30
2020-01-27,38
2020-01-28,76
2020-01-29,27
2020-01-30,14
2020-01-31,29
2020-02-01,15
2020-02-02,27
2020-02-03,24
2020-02-04,40
2020-02-05,34
2020-02-06,28
2020-02-07,26
2020-02-08,20
2020-02-09,26
2020-02-10,26
2020-02-11,26
2020-02-12,34
2020-02-13,27
2020-02-14,20
2020-02-15,11
2020-02-16,28
2020-02-17,29
2020-02-18,22
2020-02-19,20
2020-02-20,21
2020-02-21,20
2020-02-22,23
2020-02-23,27
2020-02-24,47
2020-02-25,57
2020-02-26,64
2020-02-27,153
2020-02-28,274
2020-02-29,88
2020-03-01,52
2020-03-02,126
2020-03-03,239
2020-03-04,58
2020-03-05,42
2020-03-06,57
2020-03-07,33
2020-03-08,39
2020-03-09,103
2020-03-10,180
2020-03-11,94
2020-03-12,120
2020-03-13,107
2020-03-14,63
2020-03-15,61
2020-03-16,121
2020-03-17,89
2020-03-18,122
2020-03-19,141
2020-03-20,410
2020-03-21,125
2020-03-22,134
2020-03-23,514
2020-03-24,261
2020-03-25,263
2020-03-26,395
2020-03-27,336
2020-03-28,118
2020-03-29,91
2020-03-30,217
2020-03-31,215
2020-04-01,180
2020-04-02,91
2020-04-03,70
2020-04-04,41
2020-04-05,47
2020-04-06,64
2020-04-07,63
2020-04-08,76
2020-04-09,80
2020-04-10,72
2020-04-11,54
2020-04-12,49
2020-04-13,67
2020-04-14,67
2020-04-15,69
2020-04-16,56
2020-04-17,68
2020-04-18,37
2020-04-19,49
2020-04-20,155
2020-04-21,64
2020-04-22,59
2020-04-23,86
2020-04-24,95
2020-04-25,52
2020-04-26,49
2020-04-27,50
2020-04-28,56
2020-04-29,182
2020-04-30,85
2020-05-01,84
2020-05-02,39
2020-05-03,39
2020-05-04,54
2020-05-05,46
2020-05-06,52
2020-05-07,58
2020-05-08,80
2020-05-09,27
2020-05-10,26
2020-05-11,73
2020-05-12,118
2020-05-13,360
2020-05-14,109
2020-05-15,117
2020-05-16,36
2020-05-17,25
2020-05-18,62
2020-05-19,50
2020-05-20,78
2020-05-21,37
2020-05-22,53
2020-05-23,32
2020-05-24,19
2020-05-25,31
2020-05-26,70
2020-05-27,111
2020-05-28,32
2020-05-29,38
2020-05-30,36
2020-05-31,45
2020-06-01,98
2020-06-02,96
2020-06-03,91
2020-06-04,100
2020-06-05,218
2020-06-06,25
2020-06-07,34
2020-06-08,46
2020-06-09,82
2020-06-10,324
2020-06-11,104
2020-06-12,106
2020-06-13,29
2020-06-14,46
2020-06-15,110
2020-06-16,43
2020-06-17,152
2020-06-18,208
2020-06-19,37
2020-06-20,31
2020-06-21,26
2020-06-22,39
2020-06-23,62
2020-06-24,44
2020-06-25,85
2020-06-26,108
2020-06-27,46
2020-06-28,38
2020-06-29,95
2020-06-30,130
2020-07-01,83
2020-07-02,68
2020-07-03,41
2020-07-04,35
2020-07-05,24
2020-07-06,85
2020-07-07,77
2020-07-08,38
2020-07-09,21
2020-07-10,36
2020-07-11,28
2020-07-12,38
2020-07-13,68
2020-07-14,83
2020-07-15,34
2020-07-16,50
2020-07-17,50
2020-07-18,13
2020-07-19,18
2020-07-20,46
2020-07-21,52
2020-07-22,48
2020-07-23,45
2020-07-24,59
2020-07-25,31
2020-07-26,15
2020-07-27,62
2020-07-28,40
2020-07-29,22
2020-07-30,50
2020-07-31,46
2020-08-01,26
2020-08-02,26
2020-08-03,37
2020-08-04,30
2020-08-05,30
2020-08-06,22
2020-08-07,21
2020-08-08,23
2020-08-09,34
2020-08-10,37
2020-08-11,32
2020-08-12,28
2020-08-13,36
2020-08-14,27
2020-08-15,21
2020-08-16,16
2020-08-17,17
2020-08-18,20
2020-08-19,29
2020-08-20,28
2020-08-21,28
2020-08-22,24
2020-08-23,28
2020-08-24,24
2020-08-25,23
2020-08-26,29
2020-08-27,45
2020-08-28,29
2020-08-29,27
2020-08-30,21
2020-08-31,29
2020-09-01,76
2020-09-02,32
2020-09-03,55
2020-09-04,38
2020-09-05,27
2020-09-06,24
2020-09-07,16
2020-09-08,21
2020-09-09,28
2020-09-10,37
2020-09-11,28
2020-09-12,15
2020-09-13,16
2020-09-14,20
2020-09-15,17
2020-09-16,25
2020-09-17,196
2020-09-18,44
2020-09-19,25
2020-09-20,28
2020-09-21,30
2020-09-22,28
2020-09-23,26
2020-09-24,42
2020-09-25,46
2020-09-26,20
2020-09-27,19
2020-09-28,22
2020-09-29,29
2020-09-30,26
2020-10-01,16
2020-10-02,19
2020-10-03,16
2020-10-04,19
2020-10-05,11
2020-10-06,25
2020-10-07,24
2020-10-08,37
2020-10-09,16
2020-10-10,28
2020-10-11,32
2020-10-12,35
2020-10-13,32
2020-10-14,24
2020-10-15,33
2020-10-16,28
2020-10-17,17
2020-10-18,16
2020-10-19,31
2020-10-20,23
2020-10-21,27
2020-10-22,28
2020-10-23,24
2020-10-24,22
2020-10-25,18
2020-10-26,42
2020-10-27,38
2020-10-28,37
2020-10-29,40
2020-10-30,33
2020-10-31,11
2020-11-01,25
2020-11-02,26
2020-11-03,18
2020-11-04,34
2020-11-05,42
2020-11-06,16
2020-11-07,9
2020-11-08,8
2020-11-09,40
2020-11-10,33
2020-11-11,20
2020-11-12,19
2020-11-13,23
2020-11-14,14
2020-11-15,16
2020-11-16,19
2020-11-17,29
2020-11-18,22
2020-11-19,20
2020-11-20,26
2020-11-21,9
2020-11-22,19
2020-11-23,24
2020-11-24,24
2020-11-25,30
2020-11-26,16
2020-11-27,23
2020-11-28,15
2020-11-29,25
2020-11-30,39
2020-12-01,26
2020-12-02,18
2020-12-03,21
2020-12-04,19
2020-12-05,18
2020-12-06,20
2020-12-07,30
2020-12-08,28
2020-12-09,18
2020-12-10,25
2020-12-11,19
2020-12-12,11
2020-12-13,25
2020-12-14,15
2020-12-15,33
2020-12-16,18
2020-12-17,20
2020-12-18,12
2020-12-19,34
2020-12-20,21
2020-12-21,33
2020-12-22,23
2020-12-23,23
2020-12-24,21
2020-12-25,14
2020-12-26,12
2020-12-27,16
2020-12-28,24
2020-12-29,31
2020-12-30,17
2020-12-31,17
2021-01-01,23
2021-01-02,19
2021-01-03,15
2021-01-04,35
2021-01-05,29
2021-01-06,21
2021-01-07,28
2021-01-08,29
2021-01-09,25
2021-01-10,16
2021-01-11,22
2021-01-12,24
2021-01-13,30
2021-01-14,21
2021-01-15,11
2021-01-16,22
2021-01-17,18
2021-01-18,9
2021-01-19,19
2021-01-20,29
2021-01-21,20
2021-01-22,19
2021-01-23,20
2021-01-24,16
2021-01-25,45
2021-01-26,40
2021-01-27,42
2021-01-28,46
2021-01-29,50
2021-01-30,54
2021-01-31,62
